,bond,illchild,illparent,illspouse,matdis,own
bond,0.0,0.2,0.2,0.2,0.2,0.2
illchild,0.28985948907725445,0.0,0.019195039493736632,0.15566678250624466,4.132429542419179e-05,0.5352373646273401
illparent,5.586122718921913e-05,0.08506171198286212,0.0,5.586122718921913e-05,5.586122718921913e-05,0.9147707043355703
illspouse,6.757081066262566e-05,0.07318904307727751,0.09102628831095814,0.0,6.757081066262566e-05,0.835649526990439
matdis,0.2,0.2,0.2,0.2,0.0,0.2
own,0.32740122047209397,0.27171374024204326,0.17237254147330225,0.13490831786431123,0.09360417994824917,0.0
